title,blogger,postdate,link,brand_candidates,brand_matched_keywords,product_category_candidates,product_category_matched_keywords,mapping_note
숙면 돕는 한방 차와 자연 테라피,댕댕댕,20260505,https://blog.naver.com/alsk1023_83/224270947471,알레,"{""알레"": [""알레""]}","라벤더 계열, 블렌딩 오일 계열","{""라벤더 계열"": [""라벤더""], ""블렌딩 오일 계열"": [""수면"", ""숙면"", ""스트레스""]}",brand_direct_match
두피 힐링 헤드스파,alsrud3617님의 블로그,20260505,https://blog.naver.com/alsrud3617/224275791705,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""수면""]}",brand_not_found_product_category_mapping
불면증에 좋은 향 사람이 될 것입니다.,사랑이 올 줄 몰랐어,20260505,https://blog.naver.com/antatettdov5504/224275788976,,{},"라벤더 계열, 블렌딩 오일 계열","{""라벤더 계열"": [""라벤더""], ""블렌딩 오일 계열"": [""블렌딩"", ""수면"", ""숙면"", ""스트레스""]}",brand_not_found_product_category_mapping
레노포프 우드 디퓨저 천연 원목 향기로 집안 분위기 확실히...,인공지능 활용,20260505,https://blog.naver.com/mekfrru/224274371608,레노포프,"{""레노포프"": [""레노포프""]}",라벤더 계열,"{""라벤더 계열"": [""라벤더""]}",brand_direct_match
장미잎의 비밀스러운 매력에 대해 알아보자,deepdn28195님의 블로그,20260505,https://blog.naver.com/deepdn28195/224274991966,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
"일상 속 힐링의 순간, 사이공뷰티앤마사지와 함께한 청주 강서...",하늘의 메모,20260505,https://blog.naver.com/hiroo505/224275788460,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
원주클레이ㅡ 여름 비누만들기,토탈클레이(사)칼라클레이문화예술협회 서원주,20260505,https://blog.naver.com/hbtu2/224275774983,,{},"라벤더 계열, 레몬 계열","{""라벤더 계열"": [""라벤더""], ""레몬 계열"": [""레몬""]}",brand_not_found_product_category_mapping
아기 코막힘 신생아 코막힘 불면증 추천 올바스 밤 올바스 오일,삼남매 엄마의 기록:),20260505,https://blog.naver.com/jk_yoojin/224275771530,"올바스, MOWM, 알레","{""올바스"": [""올바스""], ""MOWM"": [""MOWM""], ""알레"": [""알레""]}",블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""숙면""]}",brand_direct_match
레노포프 우드 디퓨저로 집안 분위기 은은하게 바꿨어요,심플한 삶,20260505,https://blog.naver.com/muwrjul0/224273279086,레노포프,"{""레노포프"": [""레노포프""]}",라벤더 계열,"{""라벤더 계열"": [""라벤더""]}",brand_direct_match
"송도 독학재수학원 담임이 공부보다 ""숙면""을 먼저 챙기는 이유",송도 유클리드 독학관리,20260505,https://blog.naver.com/euclid4222/224275770936,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""블렌딩"", ""수면"", ""숙면""]}",brand_not_found_product_category_mapping
"창원ㅣ창원체형관리 추천, 탐날에스테틱 창원점 복부관리 후기",희소식,20260505,https://blog.naver.com/deec407/224275770359,네이버,"{""네이버"": [""네이버""]}",,{},brand_direct_match
레노포프 우드 디퓨저로 은은한 향기 집안 가득 2주 사용 후기,심플한 삶,20260505,https://blog.naver.com/muwrjul0/224273278764,레노포프,"{""레노포프"": [""레노포프""]}",,{},brand_direct_match
굶는 다이어트는 이제 그만! 뇌과학 다이어트 식단으로 요요...,건강관리 정보,20260505,https://blog.naver.com/hyroa/224275463994,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
[청주 가경동] 즉각적인 효과가 좋은 에스테틱 추천...,★Bling-Bling 일상★,20260505,https://blog.naver.com/wjdghk328/224275764259,,{},,{},no_brand_or_category_match
"카나야 스파 발리니즈 & 핫스톤 아로마 (50% 할인, 23,100원)",노말영의 디지털노마드,20260505,https://blog.naver.com/normalyoung/224275759005,네이버,"{""네이버"": [""네이버""]}",,{},brand_direct_match
"n번째 방문하는 청라 아로마스, 아로마 릴랙스 리추얼 60분 후기",RiRi LOG,20260505,https://blog.naver.com/tpfl9917/224275759092,,{},,{},no_brand_or_category_match
"웨딩 전 필수 데콜테 관리, 상체라인 정리 후기장유율하...",사랑스런 너희들과 함께하는,20260505,https://blog.naver.com/youangel55/224275749158,,{},,{},no_brand_or_category_match
"서면마사지 프리미엄 더바디 후기, 서면커플마사지 1인 건식...",보ㄹ1,20260505,https://blog.naver.com/bori333_/224275743204,,{},,{},no_brand_or_category_match
욕실 곰팡이 방지를 위한 평소 관리 습관,잡식님의 블로그,20260505,https://blog.naver.com/dbswnsgml2/224275551814,다이소,"{""다이소"": [""다이소""]}",,{},brand_direct_match
태국 기념품 추천 차트라뮤 밀크티 브랜드 빅씨마트 쇼핑리스트,뚜벅이의 발걸음,20260505,https://blog.naver.com/dbwlsdl5/224275738843,네이버,"{""네이버"": [""네이버""]}",,{},brand_direct_match
관리 1회만에 허리 & 흉곽 사이즈 줄여준 대전 산후마사지 추천...,Beautei's_boutique,20260505,https://blog.naver.com/beautei_hj/224275730689,,{},,{},no_brand_or_category_match
대전 두피관리 하루두피 둔산점 5월 어른이날 할인이벤트,탱자탱자 전탱자,20260505,https://blog.naver.com/wjsgp0212/224275725653,,{},"오렌지 계열, 블렌딩 오일 계열","{""오렌지 계열"": [""오렌지""], ""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
"러브 스페이스 디자인, 사랑과 온기로 채워진 나만의 생활 공간...",thsjplr667님의 블로그,20260505,https://blog.naver.com/thsjplr667/224275723964,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
"세라믹 아로마램프, 집들이와 생일선물로 딱이네요",아리주하하린,20260505,https://blog.naver.com/wjagk6/224275722456,,{},"라벤더 계열, 레몬 계열, 블렌딩 오일 계열","{""라벤더 계열"": [""라벤더""], ""레몬 계열"": [""레몬""], ""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
[수원] 인계동마사지 더풋샵마사지 수원인계점 하체마사지 후기,지니 뷰티 스토리,20260505,https://blog.naver.com/jiklovelove/224275719851,,{},,{},no_brand_or_category_match
푸켓 6월 7월 8월 날씨와 태국 옷차림 및 여행 준비물: 피피섬...,여행팁,20260505,https://blog.naver.com/goodmantrip/224275691197,,{},"페퍼민트 계열, 유칼립투스 계열, 레몬 계열, 블렌딩 오일 계열","{""페퍼민트 계열"": [""페퍼민트""], ""유칼립투스 계열"": [""유칼립투스""], ""레몬 계열"": [""레몬""], ""블렌딩 오일 계열"": [""수면"", ""숙면""]}",brand_not_found_product_category_mapping
힘들 때 - 자기돌봄 처방전,책봄나봄의 자기돌봄 서재,20260505,https://blog.naver.com/create365/224275713325,,{},,{},no_brand_or_category_match
나트랑 깜란 마사지 픽업샌딩 짐보관,하노리와 여행하기✈️,20260505,https://blog.naver.com/doa_pic/224275708893,,{},,{},no_brand_or_category_match
왜 3040 여성에게 유방암이 늘고 있을까? 이 습관 때문에 젊은...,"인생에서 꼭 필요한 세 가지 돈, 사랑, 건강에 대해",20260505,https://blog.naver.com/anstndud2849/224275708828,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
쉼이 필요할때 아로마 릴랙스 리추얼 코스 '아로마스',소소한 삶에 감사를..✨,20260505,https://blog.naver.com/myyeum_/224275707923,네이버,"{""네이버"": [""네이버""]}","일랑일랑 계열, 블렌딩 오일 계열","{""일랑일랑 계열"": [""일랑일랑""], ""블렌딩 오일 계열"": [""스트레스""]}",brand_direct_match
상무지구마사지 잘하는 곳 광주웰빙전통아로마 ft....,✅ 1시간 전,20260505,https://blog.naver.com/ehgptn321/224275707256,,{},,{},no_brand_or_category_match
"발리 여행의 완벽한 힐링, 아이시스 스파 마사지 누사두아...",노말영의 디지털노마드,20260505,https://blog.naver.com/normalyoung/224275693137,네이버,"{""네이버"": [""네이버""]}",,{},brand_direct_match
“데이트 코스로 이건 반칙”…커플 아로마 마사지 받고 둘 다...,minari0224_님의 블로그,20260505,https://blog.naver.com/minari0224_/224275685222,,{},,{},no_brand_or_category_match
1주년 이벤트^,바디풋샵,20260505,https://blog.naver.com/xye70/224275668205,,{},,{},no_brand_or_category_match
순천 숙소 추천 스테이두루 조식 주차 내돈내산 후기,설루 여행,20260505,https://blog.naver.com/snowmansl1802/224275667385,네이버,"{""네이버"": [""네이버""]}",,{},brand_direct_match
클락 마사지 추천: 밀크스파 한국식 때밀이 솔직 방문 후기,앙헬레스/클락 여행정보 공유,20260505,https://blog.naver.com/sonny9999_/224275517064,,{},,{},no_brand_or_category_match
의성군 카페개업 선물 개업화환배달 실내 분위기를 바꿔주는...,여행정보,20260505,https://nadaki.tistory.com/1276,알레,"{""알레"": [""알레""]}",,{},brand_direct_match
클라랑스 컨투어 바디오일,Wellness life log,20260505,https://blog.naver.com/live_aesthetic_life/224275648130,,{},"레몬 계열, 오렌지 계열","{""레몬 계열"": [""레몬""], ""오렌지 계열"": [""오렌지""]}",brand_not_found_product_category_mapping
구리 바디관리 - 피부205 (워터브리딩 테라피),❤️하늘호수로 떠난 여행❤️,20260505,https://blog.naver.com/jink3411/224275645565,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
4월의 말레이시아: 제발이란 감정,놀러 와요 제스의 숲 ♡,20260505,https://blog.naver.com/k1mjess/224275634846,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""수면""]}",brand_not_found_product_category_mapping
