title,blogger,postdate,link,brand_candidates,brand_matched_keywords,product_category_candidates,product_category_matched_keywords,mapping_note
"압구정카페 백억커피 신메뉴, 상큼한 보성 키위 주스 재출시",Kyu Say,20260430,https://blog.naver.com/kyu_november/224270450045,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""음료""], ""블렌딩티 계열"": [""블렌딩""]}",brand_not_found_product_category_mapping
[강동 천호 성내 카페] 언톨드 (브라운치즈라떼·딸기라떼...,jenny studio,20260430,https://blog.naver.com/jenny-studio/224270442334,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""에이드""]}",brand_not_found_product_category_mapping
수원 인계동 카페 추천 커피에반하다 수원시청역점돌체라떼...,밥봇의 한끼 알고리즘,20260430,https://blog.naver.com/chasun5/224270437721,"루트, 테스","{""루트"": [""루트""], ""테스"": [""테스""]}","히비스커스 계열, 차/티백 계열, 다이어트/붓기 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""hibiscus"", ""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""다이어트/붓기 계열"": [""다이어트""], ""아이스티/음료 계열"": [""에이드"", ""음료""]}",brand_direct_match
반월당 몬스터커피. 메트로점. 8시 오픈.,합격률90%10년차 기계설계자격증 및 실무 과외,20260430,https://blog.naver.com/chesterlhy/224270436664,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""ade"", ""아이스티"", ""에이드"", ""음료""], ""블렌딩티 계열"": [""blend"", ""베리""]}",brand_not_found_product_category_mapping
"양재역 레트로 감성 조용한 대형 카페, 프릳츠 양재점",책 읽는 호두의 잡기장,20260430,https://blog.naver.com/birdy877/224270393336,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""음료""]}",brand_not_found_product_category_mapping
"백화초 농원 꽃차, 계절별로 즐겨야 할 4가지 이유 총정리",백화초농원,20260430,https://blog.naver.com/baekhwa_soap/224258615570,티타임,"{""티타임"": [""티타임""]}","히비스커스 계열, 차/티백 계열, 항산화/비타민 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""항산화/비타민 계열"": [""비타민"", ""항산화""], ""아이스티/음료 계열"": [""음료""], ""블렌딩티 계열"": [""블렌드""]}",brand_direct_match
"부산대 파스타 맛집 엠슐랭, 코스요리처럼 고급져요",배통통 여행,20260430,https://blog.naver.com/daheelog/224270356434,,{},"히비스커스 계열, 차/티백 계열, 다이어트/붓기 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""다이어트/붓기 계열"": [""부기""]}",brand_not_found_product_category_mapping
성수 서울숲 브런치 체다앤올리 방문 후기 신선한 재료로 만든...,쩡이언니와 그남자,20260430,https://blog.naver.com/gmlwjd715/224270376936,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""티""], ""아이스티/음료 계열"": [""에이드"", ""음료""]}",brand_not_found_product_category_mapping
April 26,계절과 도덕 이야기,20260430,https://blog.naver.com/maisaimela/224270305515,,{},"히비스커스 계열, 차/티백 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""블렌딩티 계열"": [""베리""]}",brand_not_found_product_category_mapping
[원주디저트 추천] 원주 타르트 전문 디저트카페 :: 베이커리...,blackhaee님의블로그,20260430,https://blog.naver.com/blackhaee/224270304555,,{},"히비스커스 계열, 차/티백 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""티""]}",brand_not_found_product_category_mapping
부산 해변열차 카페 수월경화 프리미엄 티 디저트 전문,아무래도 좋은 하루,20260430,https://blog.naver.com/may_13_/224270296385,,{},"히비스커스 계열, 허브티 계열, 차/티백 계열","{""히비스커스 계열"": [""히비스커스""], ""허브티 계열"": [""허브티""], ""차/티백 계열"": [""차"", ""티""]}",brand_not_found_product_category_mapping
용산역 배스킨라빈스 가는 법 메뉴 가격 칼로리 블록팩 슈핑스타,또 다른 세상,20260430,https://blog.naver.com/nxzzz/224225381443,,{},"히비스커스 계열, 차/티백 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""블렌딩티 계열"": [""베리""]}",brand_not_found_product_category_mapping
대전 대흥동 카페 윗댁 Witdaek,앞으로 더 많은 순간을.,20260430,https://blog.naver.com/pp104802/224270291070,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""drink"", ""에이드""], ""블렌딩티 계열"": [""베리""]}",brand_not_found_product_category_mapping
[강원도 | 동해] 신상동해카페 백억커피 동해부곡점에서 신메뉴...,지구를 스위밍하다,20260430,https://blog.naver.com/irtco/224270281365,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""음료""]}",brand_not_found_product_category_mapping
하이도나 서울랜드경마공원점 | 과천 디저트 도넛 맛집 메뉴...,두쿵의 맛집•여행격파,20260430,https://blog.naver.com/830mm/224270280875,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""ade"", ""아이스티"", ""에이드"", ""음료""], ""블렌딩티 계열"": [""베리""]}",brand_not_found_product_category_mapping
[광교 카페 추천]날씨 좋은 날 무조건 여기! ‘카페메이븐’...,똥리와 은땡이,20260430,https://blog.naver.com/maria0903/224270275135,다란,"{""다란"": [""다란""]}","히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""아이스티"", ""음료""], ""블렌딩티 계열"": [""베리"", ""블렌딩""]}",brand_direct_match
"[대전 내동 카페]레트로 영화관 감성이 가득한 카페, 턴앤온...",스리의 배고픈 일상,20260430,https://blog.naver.com/lovesuto1/224270263259,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""음료""]}",brand_not_found_product_category_mapping
무신사 메가스토어 성수 맛집 추천 총정리! 푸드가든 한정 메뉴...,성수동고릴라 | 로컬 큐레이션 매거진,20260430,https://blog.naver.com/seongsudonggorilla/224270262348,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""음료""]}",brand_not_found_product_category_mapping
두류공원 나들이/맥도날드 불고기버거.스트로베리콘.딸기...,둔팅이,20260430,https://blog.naver.com/lluuiuull/224270254259,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""티""], ""아이스티/음료 계열"": [""아이스티"", ""음료""], ""블렌딩티 계열"": [""베리""]}",brand_not_found_product_category_mapping
