brand,shopping_mention_count,source_queries,source_fields
플러스라이프,3,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
픽커스,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
하영허브,3,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
하이델하우스,3,"히비스커스 차, 히비스커스 허브티",maker
하임트리,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
한국티팩토리,3,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
합천생약가공영농조합,3,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
해담은티,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
호미자루,3,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
휴오레,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
힐스랩,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
BRISE,2,히비스커스 티백,brand
DAWON,2,히비스커스 허브티,maker
립톤,2,히비스커스 허브티,brand
메쓰머,2,히비스커스 허브티,"brand, maker"
바르미,2,"히비스커스 차, 히비스커스 티백",maker
알뮤터,2,히비스커스 차,brand
에이치와이,2,"히비스커스 티백, 히비스커스 허브티",maker
클레이튼,2,히비스커스 허브티,maker
테틀리,2,히비스커스 티백,brand
티에이블,2,히비스커스 허브티,"brand, maker"
KRAUTER MIX,1,히비스커스 허브티,maker
TWG TEA,1,히비스커스 차,brand
가나다,1,히비스커스 허브티,maker
건강드림,1,히비스커스 차,brand
그린몬스터,1,히비스커스 허브티,brand
꽃길걷다,1,히비스커스 티백,brand
꽃다시피다,1,히비스커스 허브티,brand
누미,1,히비스커스 티백,brand
다만프레르,1,히비스커스 허브티,maker
다좋은푸드,1,히비스커스 티백,maker
두리인터내셔날,1,히비스커스 티백,maker
렌테,1,히비스커스 허브티,brand
목향,1,히비스커스 티백,maker
몸애조화,1,히비스커스 차,brand
미소예가,1,히비스커스 티백,brand
삼주,1,히비스커스 허브티,maker
샘표,1,히비스커스 티백,brand
스태쉬,1,히비스커스 티백,maker
알트하우스,1,히비스커스 티백,brand
올레비엔,1,히비스커스 허브티,brand
웰보H&F,1,히비스커스 차,maker
이디야,1,히비스커스 허브티,brand
지구마을,1,히비스커스 허브티,brand
커피만나,1,히비스커스 티백,brand
케이앤케이,1,히비스커스 허브티,maker
타조,1,히비스커스 허브티,brand
탐앤탐스,1,히비스커스 티백,brand
티트라,1,히비스커스 허브티,brand
포숑,1,히비스커스 티백,maker
하니앤손스,1,히비스커스 허브티,maker
하이델,1,히비스커스 차,brand
한미양행,1,히비스커스 허브티,maker
허브아일랜드,1,히비스커스 허브티,brand
